500 104343
1 2 3.9
1 3 4.7
1 4 2.9
1 6 4.5
1 7 5.4
1 8 7.2
1 10 1.0
1 11 7.2
1 13 8.2
1 14 1.9
1 16 4.5
1 17 2.8
1 18 9.1
1 20 1.1
1 22 9.3
1 23 8.1
1 24 6.7
1 25 4.0
1 26 2.5
1 29 6.3
1 31 8.7
1 32 5.8
1 34 9.3
1 35 1.7
1 36 6.8
1 38 1.9
1 39 1.2
1 40 8.3
1 41 1.3
1 44 2.5
1 45 8.0
1 46 2.3
1 47 5.6
1 49 7.3
1 52 9.6
1 55 1.6
1 58 3.6
1 59 7.9
1 60 3.1
1 61 4.2
1 62 7.7
1 63 3.5
1 64 2.1
1 65 3.3
1 66 3.4
1 71 3.9
1 72 3.8
1 74 5.8
1 76 2.1
1 78 7.7
1 79 2.1
1 80 7.6
1 81 6.2
1 82 8.6
1 83 2.4
1 84 7.5
1 85 5.1
1 87 7.6
1 88 9.7
1 89 2.8
1 90 5.6
1 92 1.3
1 98 8.9
1 99 6.2
1 101 4.5
1 102 2.2
1 103 3.2
1 104 3.3
1 106 4.9
1 108 6.3
1 109 3.3
1 111 8.2
1 112 1.1
1 113 8.0
1 114 6.7
1 115 7.8
1 116 5.1
1 118 9.2
1 120 8.8
1 121 8.6
1 123 4.0
1 126 1.8
1 127 4.1
1 131 5.6
1 134 7.8
1 135 2.8
1 138 4.4
1 141 2.1
1 142 5.0
1 143 3.5
1 144 2.6
1 145 5.3
1 146 5.4
1 150 5.2
1 151 2.3
1 152 3.3
1 157 6.9
1 158 8.8
1 159 3.4
1 162 8.5
1 164 8.7
1 165 8.1
1 166 5.2
1 168 5.1
1 169 9.8
1 170 4.2
1 173 2.5
1 174 4.6
1 175 4.3
1 177 2.3
1 179 6.7
1 181 1.5
1 183 3.2
1 184 1.8
1 186 9.1
1 187 3.3
1 188 3.9
1 189 8.5
1 193 2.5
1 194 3.3
1 195 2.8
1 196 3.8
1 198 5.4
1 199 4.9
1 200 8.0
1 201 9.9
1 202 5.9
1 203 5.3
1 205 1.9
1 207 6.1
1 208 1.9
1 209 9.9
1 210 8.4
1 214 5.5
1 215 6.2
1 216 4.7
1 218 1.6
1 222 4.8
1 223 4.9
1 225 2.0
1 226 9.4
1 227 5.7
1 228 2.9
1 229 4.6
1 231 1.6
1 232 4.7
1 233 8.4
1 234 2.6
1 235 1.7
1 236 2.9
1 240 7.4
1 241 7.6
1 242 8.8
1 244 6.3
1 246 4.0
1 247 3.2
1 248 6.2
1 249 9.4
1 250 7.9
1 252 4.3
1 253 9.7
1 255 8.0
1 256 1.5
1 258 4.4
1 259 8.8
1 261 7.3
1 262 6.6
1 264 8.7
1 265 9.9
1 266 2.0
1 267 3.6
1 269 8.5
1 270 2.4
1 272 4.4
1 273 3.3
1 274 4.9
1 276 6.3
1 278 7.2
1 279 4.4
1 280 2.3
1 281 2.7
1 282 1.7
1 283 7.8
1 284 4.8
1 285 5.0
1 290 8.7
1 291 7.3
1 292 6.3
1 293 8.6
1 294 7.6
1 297 1.9
1 298 2.6
1 299 3.0
1 302 3.2
1 306 7.8
1 307 5.7
1 308 6.0
1 311 1.3
1 312 9.5
1 313 7.2
1 314 3.6
1 317 3.6
1 318 7.4
1 319 8.9
1 320 5.4
1 321 4.7
1 322 8.3
1 323 2.0
1 326 6.3
1 327 4.5
1 328 6.8
1 331 7.9
1 332 5.1
1 333 4.2
1 334 2.8
1 337 3.6
1 338 3.2
1 340 5.4
1 341 3.9
1 342 8.3
1 343 8.9
1 345 10.0
1 346 2.9
1 352 4.5
1 353 7.5
1 354 5.7
1 357 4.3
1 358 7.7
1 359 3.5
1 363 4.0
1 364 7.3
1 366 1.2
1 367 1.4
1 368 1.1
1 369 7.6
1 370 5.0
1 373 8.6
1 378 4.3
1 380 5.7
1 382 3.9
1 383 4.4
1 387 8.3
1 391 3.2
1 392 7.3
1 393 2.4
1 395 6.6
1 396 4.8
1 399 3.5
1 401 5.5
1 403 6.4
1 404 4.5
1 408 1.9
1 409 9.7
1 411 2.4
1 412 6.3
1 414 7.3
1 415 7.7
1 418 7.9
1 419 2.0
1 420 2.2
1 422 3.3
1 424 5.4
1 426 1.0
1 427 1.8
1 428 1.3
1 429 2.1
1 432 6.9
1 433 7.8
1 434 4.0
1 436 3.5
1 437 4.6
1 439 8.7
1 440 5.9
1 442 2.6
1 443 2.5
1 445 5.3
1 447 4.6
1 448 9.6
1 450 4.3
1 451 5.4
1 452 2.0
1 453 1.1
1 454 7.5
1 458 4.5
1 461 4.1
1 462 6.3
1 463 4.7
1 465 9.1
1 467 4.2
1 468 7.3
1 469 2.8
1 471 4.1
1 472 7.4
1 473 2.9
1 474 1.5
1 477 5.8
1 478 5.8
1 479 6.2
1 480 4.5
1 481 1.8
1 485 5.9
1 486 2.7
1 488 3.3
1 489 8.6
1 490 3.3
1 494 8.8
1 495 8.5
1 498 9.2
1 500 9.8
2 3 2.2
2 4 7.5
2 5 4.0
2 6 9.3
2 10 7.5
2 11 6.4
2 12 2.2
2 14 5.9
2 15 8.5
2 16 3.3
2 17 7.2
2 18 8.1
2 20 4.3
2 21 2.9
2 23 7.8
2 24 8.6
2 25 7.7
2 27 9.9
2 29 7.4
2 30 2.0
2 35 6.1
2 36 8.7
2 37 7.6
2 42 6.4
2 43 7.9
2 44 8.4
2 45 9.4
2 46 8.2
2 48 6.3
2 49 2.5
2 50 2.2
2 51 5.7
2 53 5.3
2 54 5.6
2 57 6.9
2 58 3.7
2 59 3.1
2 60 9.2
2 62 8.3
2 64 9.2
2 66 5.5
2 67 2.9
2 69 4.4
2 70 1.7
2 72 3.0
2 73 2.9
2 74 1.8
2 75 7.9
2 76 1.7
2 77 2.6
2 78 3.5
2 79 2.2
2 81 5.6
2 82 1.8
2 84 8.2
2 85 7.5
2 86 8.7
2 90 6.4
2 91 8.8
2 92 4.9
2 93 9.7
2 94 4.5
2 95 5.3
2 100 1.1
2 102 6.1
2 103 4.9
2 105 2.5
2 108 1.2
2 111 2.2
2 112 5.6
2 114 8.9
2 115 6.5
2 116 6.4
2 117 5.8
2 118 6.8
2 121 9.5
2 122 9.9
2 128 9.9
2 129 9.2
2 130 1.9
2 131 4.8
2 134 1.2
2 136 7.9
2 138 3.0
2 139 8.2
2 143 3.7
2 146 3.9
2 148 5.2
2 150 8.0
2 151 1.1
2 153 8.2
2 154 7.6
2 155 8.3
2 156 1.5
2 157 3.6
2 162 4.1
2 163 5.6
2 165 10.0
2 167 6.7
2 168 9.1
2 169 8.8
2 174 7.1
2 175 7.0
2 176 9.0
2 177 1.1
2 179 6.6
2 181 7.1
2 184 7.6
2 186 3.6
2 187 6.1
2 194 2.9
2 195 1.4
2 200 5.4
2 202 7.3
2 204 9.1
2 205 9.3
2 206 4.6
2 208 4.4
2 209 4.1
2 211 7.2
2 214 1.1
2 216 5.5
2 217 6.7
2 219 7.4
2 220 9.6
2 221 4.5
2 222 9.9
2 223 8.7
2 226 1.5
2 227 7.0
2 228 5.6
2 229 2.6
2 230 2.7
2 232 5.4
2 233 4.3
2 234 5.0
2 235 4.1
2 236 2.8
2 237 4.3
2 238 6.4
2 240 9.7
2 243 2.8
2 244 5.5
2 245 5.9
2 246 6.9
2 247 4.9
2 248 9.6
2 249 8.9
2 251 6.1
2 252 6.2
2 253 2.5
2 254 2.9
2 255 7.0
2 256 6.5
2 258 2.2
2 261 4.4
2 264 6.8
2 265 2.5
2 266 6.4
2 269 7.7
2 272 6.8
2 273 8.4
2 274 3.9
2 275 5.9
2 277 7.2
2 278 8.0
2 279 2.5
2 281 8.4
2 282 9.3
2 284 6.4
2 285 1.3
2 286 9.4
2 289 1.1
2 290 9.6
2 291 5.2
2 292 2.6
2 293 2.3
2 294 2.5
2 295 7.1
2 296 9.9
2 297 6.9
2 299 4.8
2 300 9.5
2 301 6.8
2 303 7.1
2 305 6.9
2 306 1.8
2 307 9.4
2 309 2.6
2 310 5.3
2 311 1.6
2 312 9.1
2 313 9.4
2 314 4.6
2 317 5.4
2 318 3.5
2 319 5.3
2 320 1.0
2 321 1.7
2 322 8.1
2 324 5.0
2 325 9.2
2 326 1.8
2 327 7.7
2 328 8.8
2 330 5.6
2 331 3.2
2 333 2.9
2 335 7.1
2 336 1.9
2 337 1.3
2 338 2.0
2 339 2.2
2 340 7.0
2 341 9.0
2 342 2.7
2 347 9.3
2 349 3.2
2 350 5.7
2 351 2.6
2 353 6.9
2 354 1.3
2 355 9.5
2 356 7.0
2 357 8.3
2 360 7.3
2 361 3.4
2 363 6.9
2 364 3.5
2 365 1.2
2 366 9.5
2 368 7.3
2 369 2.6
2 370 4.4
2 372 5.5
2 374 7.5
2 376 5.5
2 379 2.8
2 386 9.0
2 389 6.6
2 390 7.1
2 392 10.0
2 394 9.3
2 396 7.1
2 397 1.9
2 398 5.6
2 399 3.1
2 401 6.6
2 402 8.8
2 403 1.2
2 404 3.5
2 407 8.5
2 408 2.1
2 409 6.3
2 410 6.8
2 412 8.9
2 413 3.2
2 414 3.9
2 416 9.5
2 417 4.2
2 421 1.5
2 422 3.0
2 423 1.2
2 424 5.4
2 426 5.9
2 427 1.0
2 433 3.7
2 435 4.0
2 437 5.4
2 439 9.7
2 441 1.7
2 442 9.3
2 443 7.5
2 446 3.0
2 447 8.1
2 448 1.9
2 449 5.2
2 450 8.9
2 452 1.0
